Street Address,City,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,Latitude,Longitude,ID,EV Connector Types,Facility Type
5620 Vineyard Dr,Paso Robles,93446,Public - Call ahead,24 hours daily; for customer use only,,2,,,35.581277,-120.80007,113247,TESLA,BREWERY_DISTILLERY_WINERY
5805 Adelaida Rd,Paso Robles,93446,Public,24 hours daily; for customer use only; see front desk for access,,3,,,35.649893,-120.806556,113248,J1772 TESLA,BREWERY_DISTILLERY_WINERY
7350 Linne Rd,Paso Robles,93446,Public,24 hours daily; for customer use only; see front desk for access,,2,,,35.599381,-120.570984,113249,TESLA,BREWERY_DISTILLERY_WINERY
7450 Vineyard Dr,Paso Robles,93446,Public,24 hours daily; for customer use only,,2,,,35.59771,-120.829689,113250,TESLA,BREWERY_DISTILLERY_WINERY
7725 Vineyard Dr,Paso Robles,93446,Public,24 hours daily; for customer use only; see front desk for access,,2,,,35.598746,-120.833054,113251,TESLA,BREWERY_DISTILLERY_WINERY
8331 E Hwy 46,Paso Robles,93446,Public - Call ahead,24 hours daily; for customer use only,,3,,,35.657425,-120.545644,113252,J1772 TESLA,BREWERY_DISTILLERY_WINERY
8530 Vineyard Dr,Paso Robles,93446,Public - Call ahead,24 hours daily; for customer use only,,3,,,35.621213,-120.843994,113253,J1772 TESLA,SHOPPING_CENTER
8910 Adelaida Rd,Paso Robles,93446,Public - Call ahead,24 hours daily; for customer use only,,4,,,35.648084,-120.833095,113254,J1772 TESLA,BREWERY_DISTILLERY_WINERY
9339 Adelaida Rd,Paso Robles,93446,Public,24 hours daily,,1,,,35.636004,-120.861929,113255,TESLA,BREWERY_DISTILLERY_WINERY
1700 17 Mile Dr,Pebble Beach,93953,Public,24 hours daily; for customer use only; see front desk for access,,7,,,36.568537,-121.950742,113256,J1772 TESLA,HOTEL
3200 Lopez Rd,Pebble Beach,93953,Public,24 hours daily; for customer use only,,3,,,36.582438,-121.938454,113257,TESLA,REC_SPORTS_FACILITY
1280 N McDowell Blvd,Petaluma,94954,Public,24 hours daily; for customer use only,,6,,,38.272435,-122.662346,113259,J1772 TESLA,BREWERY_DISTILLERY_WINERY
745 Baywood Dr,Petaluma,94954,Public,24 hours daily,,3,,,38.232233,-122.614306,113260,J1772 TESLA,HOTEL
1810 Hwy 128,Philo,95466,Public,24 hours daily; for customer use only,,2,,,39.131869,-123.532571,113261,J1772 TESLA,RESTAURANT
5501 Highway 128,Philo,95466,Public,24 hours daily; for customer use only; see front desk for access,,1,,,39.0979,-123.484338,113262,TESLA,BREWERY_DISTILLERY_WINERY
1621 Price St,Pismo Beach,93449,Public,24 hours daily; for customer use only; see front desk for access,,1,,,35.14571,-120.646317,113264,TESLA,HOTEL
2351 Price St,Pismo Beach,93449,Public,24 hours daily; for customer use only; see front desk for access,,2,,,35.14834,-120.650611,113265,J1772 TESLA,INN
2411 Price St,Pismo Beach,93449,Public,24 hours daily; for customer use only,,2,,,35.149305,-120.65142,113266,J1772 TESLA,HOTEL
2555 Price St,Pismo Beach,93449,Public,24 hours daily; for customer use only,,2,,,35.149551,-120.653999,113267,J1772 TESLA,HOTEL
2651 Price St,Pismo Beach,93449,Public,24 hours daily; for customer use only,,2,,,35.152521,-120.660575,113268,J1772 TESLA,INN
2727 Shell Beach Rd,Pismo Beach,93449,Public,24 hours daily; for customer use only; see front desk for access,,3,,,35.164547,-120.68932,113269,J1772 TESLA,HOTEL
2757 Shell Beach Rd,Pismo Beach,93449,Public,24 hours daily; for customer use only; see valet for access,,2,,,35.165283,-120.690918,113270,TESLA,HOTEL
2560 High Hill Rd,Placerville,95667,Public,24 hours daily,,2,,,38.746835,-120.719043,113271,TESLA,BREWERY_DISTILLERY_WINERY
581 Cold Springs Rd,Placerville,95667,Public,24 hours daily; for customer use only; see front desk for access,,1,,,38.790487,-120.888605,113272,TESLA,B_AND_B
807 Main St,Pleasanton,94566,Public,24 hours daily; for customer use only; see front desk for access,,4,,,37.664012,-121.87478,113273,J1772 TESLA,HOTEL
11000 Shenandoah Rd,Plymouth,95642,Public,24 hours daily; for customer use only,,4,,,38.521804,-120.817893,113274,J1772 TESLA,BREWERY_DISTILLERY_WINERY
11970 Shenandoah Rd,Plymouth,95669,Public,24 hours daily,,3,,,38.526251,-120.801802,113275,J1772 TESLA,BREWERY_DISTILLERY_WINERY
9372 Main St,Plymouth,95669,Public,24 hours daily; for customer use only; see front desk for access,,2,,,38.480785,-120.848399,113276,J1772 TESLA,HOTEL
9402 Main St,Plymouth,95669,Public,24 hours daily; for customer use only,,2,,,38.480871,-120.847904,113277,J1772 TESLA,RESTAURANT
12300 Steiner Rd,Plymouth,95669,Public,24 hours daily,,2,,,38.53674,-120.79274,113278,TESLA,BREWERY_DISTILLERY_WINERY
